Name,Online,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Customer_3539,No,Yes,2.2,692,1048,Dining
Customer_3540,No,No,2.2,1247,1160,Quick Bites
Customer_3541,Yes,No,3.6,2179,339,Cafe
Customer_3542,Yes,No,1.2,2458,1448,Cafe
Customer_3543,No,Yes,1.2,3275,1641,Delivery
Customer_3544,Yes,Yes,1.7,3330,2316,Dining
Customer_3545,Yes,Yes,4.6,3285,2405,Cafe
Customer_3546,No,No,4.2,2944,460,Dining
Customer_3547,Yes,No,3.6,818,425,Quick Bites
Customer_3548,Yes,No,3.1,437,1827,Quick Bites
Customer_3549,No,No,3.3,4791,269,Dining
Customer_3550,No,No,1.2,1924,2950,Cafe
Customer_3551,No,No,2.3,439,515,Dining
Customer_3552,Yes,No,3.4,145,2733,Delivery
Customer_3553,No,No,4.1,4238,1564,Cafe
Customer_3554,Yes,Yes,3,4380,2589,Quick Bites
Customer_3555,Yes,Yes,4.5,2520,2517,Buffet
Customer_3556,Yes,No,4.1,3588,1361,Dining
Customer_3557,No,No,4.1,1351,1145,Dining
Customer_3558,No,Yes,2.4,4464,2374,Delivery
Customer_3559,Yes,No,4.1,3653,666,Buffet
Customer_3560,No,No,3,3606,1376,Dining
Customer_3561,No,Yes,3.1,4735,1847,Delivery
Customer_3562,Yes,No,3.2,3499,701,Dining
Customer_3563,No,Yes,1,3550,2650,Cafe
Customer_3564,No,No,2.6,2806,762,Delivery
Customer_3565,Yes,Yes,3.1,1721,811,Quick Bites
Customer_3566,No,No,4.4,983,2752,Quick Bites
Customer_3567,Yes,No,4.9,1734,2596,Dining
Customer_3568,No,Yes,3.9,2899,638,Delivery
Customer_3569,Yes,Yes,4,1570,1735,Buffet
Customer_3570,No,No,4.5,625,2055,Buffet
Customer_3571,Yes,Yes,4.6,3639,2089,Quick Bites
Customer_3572,No,Yes,1.5,1057,1088,Dining
Customer_3573,No,No,2.3,1865,2698,Buffet
Customer_3574,No,Yes,1.5,1461,1161,Quick Bites
Customer_3575,No,No,3.7,2140,2534,Dining
Customer_3576,Yes,Yes,1.6,192,1416,Cafe
Customer_3577,Yes,No,4.6,4417,1053,Quick Bites
Customer_3578,No,No,3.8,3494,2636,Delivery
Customer_3579,No,Yes,3.5,3634,2252,Buffet
Customer_3580,No,Yes,1.7,3528,1816,Cafe
Customer_3581,Yes,No,3.2,3671,1869,Quick Bites
Customer_3582,Yes,No,4.4,634,1368,Cafe
Customer_3583,Yes,No,2.3,1054,250,Delivery
Customer_3584,Yes,Yes,3.4,2093,353,Cafe
Customer_3585,No,Yes,4.7,4185,2471,Cafe
Customer_3586,Yes,No,4.3,2297,2238,Dining
Customer_3587,Yes,No,1.3,2071,702,Dining
Customer_3588,Yes,No,3.8,2466,1271,Delivery
Customer_3589,No,No,4.7,1546,275,Buffet
Customer_3590,Yes,Yes,2.1,4088,1567,Quick Bites
Customer_3591,Yes,No,4.9,1516,487,Cafe
Customer_3592,Yes,Yes,2.9,1900,2994,Dining
Customer_3593,Yes,No,4.7,3304,2555,Dining
Customer_3594,Yes,No,3,2705,1948,Cafe
Customer_3595,Yes,No,1.5,2961,2761,Buffet
Customer_3596,Yes,Yes,3.7,1048,2019,Cafe
Customer_3597,Yes,Yes,3.7,2211,1789,Delivery
Customer_3598,Yes,Yes,2.1,1156,1144,Dining
Customer_3599,Yes,No,4.2,2915,461,Buffet
Customer_3600,No,Yes,3,941,1298,Buffet
Customer_3601,Yes,Yes,4.6,4991,2826,Buffet
Customer_3602,No,No,4.1,3850,845,Buffet
Customer_3603,Yes,Yes,2.5,4919,2600,Quick Bites
Customer_3604,No,Yes,2.7,2870,1705,Buffet
Customer_3605,No,Yes,1.5,2696,977,Cafe
Customer_3606,No,No,5,4303,1417,Cafe
Customer_3607,No,Yes,4.6,2460,2517,Cafe
Customer_3608,Yes,Yes,1.5,2857,2994,Buffet
Customer_3609,No,Yes,1.5,3993,2844,Dining
Customer_3610,No,No,3.3,1273,1868,Buffet
Customer_3611,No,Yes,4.3,1564,1380,Delivery
Customer_3612,No,No,1.6,3167,455,Dining
Customer_3613,Yes,No,1.3,1168,2280,Buffet
Customer_3614,No,Yes,4.4,4237,1303,Cafe
Customer_3615,Yes,No,4.8,2097,612,Dining
Customer_3616,Yes,No,1.6,375,262,Buffet
Customer_3617,No,No,1.6,3671,1710,Cafe
Customer_3618,No,Yes,3.8,4276,2498,Buffet
Customer_3619,No,Yes,2.8,545,208,Delivery
Customer_3620,No,Yes,1.8,3349,2496,Dining
Customer_3621,Yes,No,1.2,2479,2244,Buffet
Customer_3622,No,Yes,1.9,2260,1808,Delivery
Customer_3623,Yes,No,2.4,156,1518,Quick Bites
Customer_3624,No,Yes,2.3,3526,2446,Quick Bites
Customer_3625,Yes,No,1.5,3573,2577,Cafe
Customer_3626,No,Yes,1.8,3897,2522,Buffet
Customer_3627,Yes,No,3.4,3474,2291,Quick Bites
Customer_3628,No,No,3.9,3193,677,Delivery
Customer_3629,Yes,Yes,3,571,1491,Buffet
Customer_3630,No,Yes,1.3,3684,1181,Quick Bites
Customer_3631,Yes,No,4.2,2589,1351,Delivery
Customer_3632,Yes,Yes,2.7,3959,1019,Buffet
Customer_3633,No,No,1,4847,1245,Quick Bites
Customer_3634,Yes,Yes,1.9,478,2915,Delivery
Customer_3635,Yes,No,2.9,3106,428,Quick Bites
Customer_3636,Yes,No,3.1,3593,1658,Quick Bites
Customer_3637,Yes,No,2.5,3147,1249,Quick Bites
Customer_3638,Yes,Yes,4.2,1821,2060,Delivery
Customer_3639,No,Yes,1.8,4330,2930,Delivery
Customer_3640,Yes,No,3.1,1942,1953,Dining
Customer_3641,No,Yes,3.2,978,1738,Dining
Customer_3642,Yes,No,4.1,4356,1127,Buffet
Customer_3643,No,No,1.4,2873,1307,Buffet
Customer_3644,No,No,4.5,3049,2086,Cafe
Customer_3645,No,Yes,1.7,1746,597,Delivery
Customer_3646,No,No,3.9,2135,381,Cafe
Customer_3647,Yes,Yes,2.7,3531,1027,Cafe
Customer_3648,No,Yes,2.1,1061,1040,Delivery
Customer_3649,No,No,1.1,4327,2023,Cafe
Customer_3650,No,No,2.3,2987,2783,Cafe
Customer_3651,No,No,2,2180,804,Delivery
Customer_3652,No,Yes,2.4,3237,2832,Buffet
Customer_3653,No,Yes,1.7,4816,1752,Cafe
Customer_3654,No,Yes,4.5,3616,2115,Cafe
Customer_3655,Yes,Yes,2.5,2224,2210,Delivery
Customer_3656,No,Yes,2,1541,1748,Dining
Customer_3657,No,Yes,2.3,3851,2681,Dining
Customer_3658,No,No,2.2,995,510,Quick Bites
Customer_3659,No,Yes,1.1,3501,2841,Quick Bites
Customer_3660,No,Yes,3.8,142,1610,Delivery
Customer_3661,Yes,No,1.5,1546,1725,Delivery
Customer_3662,Yes,No,4.3,1737,1211,Delivery
Customer_3663,No,Yes,1.7,2961,1701,Buffet
Customer_3664,No,Yes,1.5,41,2220,Delivery
Customer_3665,No,No,4.3,4872,1430,Dining
Customer_3666,No,Yes,4,4963,896,Delivery
Customer_3667,No,Yes,1.4,951,779,Quick Bites
Customer_3668,No,No,4.1,1011,2383,Buffet
Customer_3669,Yes,Yes,1.7,3429,876,Dining
Customer_3670,No,Yes,2.7,1883,1094,Cafe
Customer_3671,No,No,1.1,2318,753,Delivery
Customer_3672,Yes,No,3.6,519,754,Dining
Customer_3673,Yes,Yes,4.5,2376,2752,Cafe
Customer_3674,Yes,Yes,4.2,2968,1992,Delivery
Customer_3675,No,No,2.4,693,1315,Delivery
Customer_3676,No,Yes,3.3,2969,2947,Buffet
Customer_3677,No,No,2.2,760,828,Buffet
Customer_3678,No,Yes,3.4,3558,690,Quick Bites
Customer_3679,No,Yes,4.7,3023,1551,Quick Bites
Customer_3680,Yes,Yes,4.1,2065,2555,Cafe
Customer_3681,No,No,1.1,4433,2037,Quick Bites
Customer_3682,Yes,Yes,4.3,4773,2964,Dining
Customer_3683,Yes,Yes,3.2,4845,355,Cafe
Customer_3684,No,No,2.1,4296,2685,Quick Bites
Customer_3685,No,No,3.9,4695,781,Dining
Customer_3686,No,No,1.3,182,2464,Cafe
Customer_3687,Yes,Yes,2.5,4536,1596,Dining
Customer_3688,Yes,Yes,3.6,4752,514,Delivery
Customer_3689,Yes,Yes,4.4,2815,2993,Cafe
Customer_3690,No,No,3.9,239,2596,Delivery
Customer_3691,Yes,Yes,4.1,4745,1886,Cafe
Customer_3692,Yes,No,3.9,3790,845,Buffet
Customer_3693,No,No,1.8,4007,279,Dining
Customer_3694,Yes,No,4.9,1615,552,Dining
Customer_3695,Yes,Yes,4.3,1829,988,Buffet
Customer_3696,Yes,Yes,3.7,1373,675,Buffet
Customer_3697,Yes,No,1.8,2917,2470,Dining
Customer_3698,Yes,Yes,3.4,4699,1061,Delivery
Customer_3699,Yes,No,1.1,4123,2556,Delivery
Customer_3700,No,No,2.4,4572,913,Dining
Customer_3701,Yes,No,4.8,169,2923,Quick Bites
Customer_3702,No,No,3,4333,910,Buffet
Customer_3703,No,Yes,2.7,1390,2526,Buffet
Customer_3704,No,No,2.6,591,1577,Cafe
Customer_3705,No,Yes,3.4,1190,767,Dining
Customer_3706,No,Yes,2.1,1152,2377,Delivery
Customer_3707,No,No,1.1,4947,2538,Dining
Customer_3708,No,No,2.3,785,1783,Cafe
Customer_3709,Yes,Yes,4.3,4500,698,Delivery
Customer_3710,Yes,No,2.4,1285,860,Cafe
Customer_3711,Yes,No,2.6,4664,2370,Buffet
Customer_3712,Yes,No,2.7,4848,1152,Dining
Customer_3713,Yes,No,1.6,4079,965,Delivery
Customer_3714,Yes,No,1.1,76,772,Delivery
Customer_3715,No,No,1.4,3376,1809,Delivery
Customer_3716,Yes,No,4.4,3979,486,Quick Bites
Customer_3717,Yes,Yes,3.7,4358,1795,Dining
Customer_3718,Yes,No,4.3,902,1859,Buffet
Customer_3719,Yes,Yes,5,1200,2406,Cafe
Customer_3720,Yes,Yes,3.9,1749,628,Quick Bites
Customer_3721,No,Yes,1.3,3671,2458,Delivery
Customer_3722,No,No,4.9,2434,464,Buffet
Customer_3723,Yes,Yes,1.1,199,214,Quick Bites
Customer_3724,No,No,2,4829,925,Delivery
Customer_3725,Yes,Yes,1.9,3917,2875,Delivery
Customer_3726,Yes,No,2.2,1273,1694,Cafe
Customer_3727,Yes,Yes,1.9,3197,855,Buffet
Customer_3728,Yes,Yes,3.8,673,354,Dining
Customer_3729,Yes,Yes,2.6,4036,505,Dining
Customer_3730,Yes,Yes,3.1,1707,369,Dining
Customer_3731,No,No,4.5,247,249,Delivery
Customer_3732,Yes,No,2.5,2287,1426,Dining
Customer_3733,Yes,Yes,1.2,1547,1434,Buffet
Customer_3734,Yes,No,3.9,2300,988,Delivery
Customer_3735,No,No,3.7,2952,356,Quick Bites
Customer_3736,No,Yes,2.7,4479,1861,Cafe
Customer_3737,No,No,3.1,2944,1047,Buffet
Customer_3738,Yes,No,2,529,2971,Dining
Customer_3739,No,No,4.3,2957,1321,Buffet
Customer_3740,No,Yes,2.2,1078,471,Quick Bites
Customer_3741,Yes,No,1.8,1038,372,Buffet
Customer_3742,Yes,No,4.1,3843,2493,Buffet
Customer_3743,No,Yes,2.3,2964,1565,Dining
Customer_3744,Yes,Yes,2.3,1683,1826,Cafe
Customer_3745,Yes,No,2.7,4159,1204,Buffet
Customer_3746,Yes,No,2.3,2842,2070,Quick Bites
Customer_3747,No,Yes,4.5,3364,2288,Delivery
Customer_3748,No,No,1.9,4255,2816,Delivery
Customer_3749,Yes,No,4.2,4318,2292,Quick Bites
Customer_3750,Yes,Yes,2.3,465,1456,Delivery
Customer_3751,Yes,Yes,3.7,3627,1872,Cafe
Customer_3752,No,Yes,1.9,2664,2837,Delivery
Customer_3753,No,Yes,3.3,4698,2858,Delivery
Customer_3754,Yes,No,4.4,3329,2325,Quick Bites
Customer_3755,No,No,2.8,962,2477,Delivery
Customer_3756,Yes,Yes,1.5,1269,852,Dining
Customer_3757,Yes,Yes,1.6,493,773,Dining
Customer_3758,Yes,No,1.2,1836,1504,Dining
Customer_3759,No,No,1.9,222,242,Delivery
Customer_3760,No,No,3.5,3541,1855,Quick Bites
Customer_3761,Yes,No,3.9,2374,2103,Delivery
Customer_3762,No,No,1.1,2477,1887,Quick Bites
Customer_3763,No,No,2.7,1960,2783,Buffet
Customer_3764,No,No,2.3,1842,1152,Dining
Customer_3765,Yes,Yes,4.2,4398,1473,Cafe
Customer_3766,Yes,Yes,2,1062,2264,Dining
Customer_3767,Yes,Yes,2.3,4721,2074,Buffet
Customer_3768,Yes,Yes,2.4,2583,2405,Quick Bites
Customer_3769,Yes,No,3.2,4950,265,Cafe
Customer_3770,Yes,No,1.8,3542,2565,Delivery
Customer_3771,Yes,Yes,2,2013,1677,Cafe
Customer_3772,Yes,Yes,1.6,84,1816,Delivery
Customer_3773,No,No,1,938,2283,Dining
Customer_3774,No,Yes,3,3811,738,Buffet
Customer_3775,Yes,Yes,3.1,4630,1896,Dining
Customer_3776,No,No,5,837,1868,Quick Bites
Customer_3777,No,Yes,2.7,1134,2353,Quick Bites
Customer_3778,Yes,Yes,4.6,4338,356,Dining
Customer_3779,No,No,2.7,62,2777,Dining
Customer_3780,Yes,No,1.7,2802,438,Quick Bites
Customer_3781,No,Yes,4.2,4560,2431,Quick Bites
Customer_3782,No,Yes,1.2,290,2698,Quick Bites
Customer_3783,Yes,No,5,660,2503,Buffet
Customer_3784,No,Yes,3.1,3364,1406,Cafe
Customer_3785,No,Yes,2.5,2092,1305,Quick Bites
Customer_3786,No,No,2,2054,2327,Dining
Customer_3787,No,No,4.9,3006,2437,Delivery
Customer_3788,No,No,1.3,4488,2742,Delivery
Customer_3789,Yes,Yes,3.8,72,1552,Quick Bites
Customer_3790,No,No,3.3,1622,2432,Delivery
Customer_3791,Yes,Yes,2.9,1742,2577,Delivery
Customer_3792,Yes,No,3.3,1564,728,Cafe
Customer_3793,Yes,Yes,3.2,873,655,Buffet
Customer_3794,Yes,No,4.9,3710,2231,Quick Bites
Customer_3795,No,No,3,4937,2752,Buffet
Customer_3796,No,Yes,4.2,1635,423,Quick Bites
Customer_3797,Yes,Yes,1.6,1850,2815,Dining
Customer_3798,Yes,No,2.6,3666,679,Buffet
Customer_3799,Yes,Yes,2.9,3122,1419,Cafe
Customer_3800,Yes,Yes,2.3,2679,2188,Buffet
Customer_3801,Yes,Yes,5,795,2962,Quick Bites
Customer_3802,No,Yes,4.1,3754,1435,Cafe
Customer_3803,No,No,2.9,3563,481,Buffet
Customer_3804,Yes,Yes,4.9,1801,2864,Dining
Customer_3805,Yes,No,2.8,3663,1534,Quick Bites
Customer_3806,Yes,Yes,3.9,4360,1427,Quick Bites
Customer_3807,No,Yes,2.4,4077,511,Buffet
Customer_3808,Yes,Yes,3.1,3148,1397,Cafe
Customer_3809,Yes,Yes,1.3,4280,1874,Delivery
Customer_3810,Yes,Yes,1.5,193,2177,Dining
Customer_3811,Yes,No,4.6,1615,1319,Dining
Customer_3812,No,No,4.9,2580,2447,Quick Bites
Customer_3813,No,No,3.9,376,1837,Buffet
Customer_3814,No,No,2.1,4420,998,Dining
Customer_3815,Yes,Yes,3.9,2097,1391,Cafe
Customer_3816,Yes,Yes,1,1470,2866,Buffet
Customer_3817,Yes,No,2.6,4739,2698,Delivery
Customer_3818,No,Yes,3.6,1556,602,Delivery
Customer_3819,No,No,3.4,2899,2334,Buffet
Customer_3820,No,Yes,2.3,400,889,Buffet
Customer_3821,No,Yes,3.7,2283,2816,Delivery
Customer_3822,Yes,Yes,1,4198,2968,Quick Bites
Customer_3823,Yes,No,1.8,3253,505,Dining
Customer_3824,No,Yes,3.9,3653,1686,Quick Bites
Customer_3825,Yes,Yes,3.8,752,1744,Cafe
Customer_3826,No,No,1.1,3853,528,Buffet
Customer_3827,Yes,Yes,1.4,2714,2576,Cafe
Customer_3828,No,Yes,1.7,1533,986,Dining
Customer_3829,Yes,Yes,2.1,2618,2241,Dining
Customer_3830,Yes,Yes,2.9,2932,2814,Quick Bites
Customer_3831,Yes,Yes,1.6,1767,1142,Cafe
Customer_3832,No,No,1.7,2722,1361,Quick Bites
Customer_3833,Yes,No,1.6,3597,1528,Dining
Customer_3834,No,Yes,1.8,1186,1269,Cafe
Customer_3835,No,No,3.9,2997,219,Buffet
Customer_3836,No,Yes,4.6,581,1118,Buffet
Customer_3837,No,No,3.4,502,2437,Dining
Customer_3838,No,Yes,2.4,3456,2886,Cafe
Customer_3839,Yes,No,1.8,2042,2782,Delivery
Customer_3840,Yes,Yes,3,2473,2850,Delivery
Customer_3841,Yes,Yes,1.1,3649,2164,Buffet
Customer_3842,No,No,4.1,551,1067,Delivery
Customer_3843,No,Yes,2.3,2291,2478,Dining
Customer_3844,Yes,No,3.6,1555,2762,Quick Bites
Customer_3845,Yes,Yes,1.2,382,918,Buffet
Customer_3846,Yes,Yes,1.7,2553,203,Buffet
Customer_3847,No,Yes,3.9,3870,2962,Buffet
Customer_3848,No,Yes,1.7,1781,1426,Cafe
Customer_3849,Yes,No,2.5,2681,2574,Quick Bites
Customer_3850,No,Yes,3.1,2789,2001,Delivery
Customer_3851,No,No,4.9,1353,226,Buffet
Customer_3852,No,No,4.3,3528,313,Dining
Customer_3853,No,No,4.5,4882,1496,Buffet
Customer_3854,No,No,4.6,1692,2706,Delivery
Customer_3855,Yes,Yes,1,1231,1744,Dining
Customer_3856,Yes,Yes,1.8,2656,1129,Dining
Customer_3857,Yes,No,1.9,3783,1812,Dining
Customer_3858,No,Yes,3.2,4016,2525,Quick Bites
Customer_3859,Yes,No,4.5,842,482,Buffet
Customer_3860,No,No,3.8,3022,1758,Quick Bites
Customer_3861,No,Yes,3.5,3892,1276,Buffet
Customer_3862,No,Yes,3.2,2730,456,Cafe
Customer_3863,No,No,4.2,896,1436,Delivery
Customer_3864,Yes,No,2.8,4157,549,Quick Bites
Customer_3865,Yes,Yes,3.6,2249,2514,Buffet
Customer_3866,No,Yes,3,1034,2079,Buffet
Customer_3867,No,No,2.5,3050,1196,Dining
Customer_3868,No,No,3.7,1716,675,Quick Bites
Customer_3869,No,No,1.8,44,517,Delivery
Customer_3870,Yes,No,4.8,409,2285,Buffet
Customer_3871,Yes,Yes,1.2,857,1826,Dining
Customer_3872,Yes,No,1.9,1193,2506,Quick Bites
Customer_3873,Yes,Yes,3.9,2101,722,Dining
Customer_3874,No,Yes,2.2,1621,889,Cafe
Customer_3875,No,No,1.9,4588,2885,Delivery
Customer_3876,Yes,Yes,4,4808,334,Cafe
Customer_3877,No,Yes,2.4,1670,1837,Buffet
Customer_3878,Yes,Yes,4.2,4898,1870,Quick Bites
Customer_3879,Yes,Yes,3.5,724,454,Dining
Customer_3880,Yes,Yes,3.1,3881,2362,Cafe
Customer_3881,Yes,Yes,1.7,1117,632,Cafe
Customer_3882,Yes,Yes,4.4,3750,756,Buffet
Customer_3883,No,No,3.7,16,2754,Buffet
Customer_3884,Yes,No,1.5,2616,1098,Cafe
Customer_3885,Yes,Yes,1.8,4081,608,Dining
Customer_3886,No,Yes,1.1,3271,647,Quick Bites
Customer_3887,Yes,No,3.7,1995,587,Cafe
Customer_3888,No,Yes,2,2498,2698,Cafe
Customer_3889,Yes,No,4.5,4672,2309,Quick Bites
Customer_3890,Yes,No,2.6,4029,2454,Delivery
Customer_3891,Yes,No,1.8,2769,1063,Quick Bites
Customer_3892,No,No,3.1,3318,1550,Buffet
Customer_3893,Yes,Yes,1.5,4030,1396,Quick Bites
Customer_3894,No,No,4.8,4585,2146,Buffet
Customer_3895,Yes,Yes,3.4,3324,1242,Buffet
Customer_3896,No,No,1.5,2883,1490,Buffet
Customer_3897,Yes,No,2.3,2046,1051,Cafe
Customer_3898,Yes,No,1.1,3022,337,Dining
Customer_3899,Yes,Yes,3,2754,2569,Dining
Customer_3900,No,Yes,2.8,4821,922,Cafe
Customer_3901,No,Yes,2.4,1535,2895,Buffet
Customer_3902,No,Yes,5,2799,2523,Delivery
Customer_3903,No,No,1.1,3079,2004,Cafe
Customer_3904,Yes,No,4.3,3375,1502,Delivery
Customer_3905,Yes,No,1.2,300,2134,Cafe
Customer_3906,Yes,Yes,1.5,3113,335,Delivery
Customer_3907,No,Yes,2.4,4374,669,Dining
Customer_3908,Yes,Yes,1.6,2034,2456,Cafe
Customer_3909,Yes,Yes,1.3,4363,2297,Delivery
Customer_3910,Yes,No,2.6,2368,931,Quick Bites
Customer_3911,Yes,No,3.6,3193,2708,Quick Bites
Customer_3912,Yes,No,4.5,321,2796,Cafe
Customer_3913,No,Yes,2.4,2251,674,Delivery
Customer_3914,Yes,Yes,4.1,994,764,Cafe
Customer_3915,No,No,3.9,2201,1406,Quick Bites
Customer_3916,Yes,Yes,4.3,1641,1613,Buffet
Customer_3917,No,Yes,2.5,3114,2451,Cafe
Customer_3918,No,No,1.1,3283,2997,Quick Bites
Customer_3919,Yes,No,4.7,1697,2380,Quick Bites
Customer_3920,Yes,Yes,3.1,2126,495,Delivery
Customer_3921,Yes,Yes,4.2,285,2897,Buffet
Customer_3922,Yes,Yes,1.9,1114,719,Quick Bites
Customer_3923,Yes,No,1.1,965,1299,Delivery
Customer_3924,No,Yes,3.9,97,1346,Buffet
Customer_3925,Yes,Yes,4,3416,1406,Dining
Customer_3926,No,Yes,2.7,1794,622,Dining
Customer_3927,No,No,3.7,900,1011,Dining
Customer_3928,No,No,4.4,3773,2822,Delivery
Customer_3929,Yes,Yes,4.5,2227,1904,Cafe
Customer_3930,Yes,Yes,3.8,4197,2652,Cafe
Customer_3931,Yes,No,4.4,4978,1102,Quick Bites
Customer_3932,Yes,No,1.4,1790,277,Delivery
Customer_3933,Yes,Yes,3.1,279,1308,Buffet
Customer_3934,Yes,No,3.5,1750,1604,Dining
Customer_3935,No,No,1.7,1650,2443,Cafe
Customer_3936,No,No,3.8,352,1357,Quick Bites
Customer_3937,Yes,No,1.3,4087,2040,Dining
Customer_3938,No,Yes,2.8,3052,1600,Cafe
Customer_3939,Yes,Yes,2.4,3996,343,Buffet
Customer_3940,Yes,No,3.1,643,2215,Dining
Customer_3941,Yes,No,2.3,1195,763,Quick Bites
Customer_3942,Yes,Yes,4,2590,1433,Delivery
Customer_3943,Yes,No,2.3,515,2965,Cafe
Customer_3944,Yes,No,3.3,2331,2106,Buffet
Customer_3945,No,No,4.7,273,1249,Dining
Customer_3946,Yes,No,1.1,1603,971,Cafe
Customer_3947,Yes,Yes,3.3,3218,1686,Cafe
Customer_3948,Yes,Yes,1.8,4972,2146,Cafe
Customer_3949,No,No,3.7,4530,2403,Dining
Customer_3950,No,No,1.8,3455,1627,Quick Bites
Customer_3951,Yes,Yes,3.6,4227,2332,Dining
Customer_3952,Yes,No,4.9,1260,2548,Cafe
Customer_3953,Yes,No,1.8,3537,291,Quick Bites
Customer_3954,Yes,No,1.9,1863,2783,Quick Bites
Customer_3955,No,Yes,3.6,1059,627,Dining
Customer_3956,No,Yes,4,1155,1560,Quick Bites
Customer_3957,No,Yes,4.9,1028,2012,Quick Bites
Customer_3958,No,No,3.8,1686,1988,Delivery
Customer_3959,Yes,No,2.4,1778,250,Dining
Customer_3960,Yes,No,4,3358,1185,Delivery
Customer_3961,No,Yes,3.2,4808,1034,Quick Bites
Customer_3962,No,Yes,4.4,2207,733,Buffet
Customer_3963,No,No,2.8,2458,654,Quick Bites
Customer_3964,No,Yes,1.5,1392,285,Dining
Customer_3965,Yes,Yes,1.5,1799,1900,Buffet
Customer_3966,No,Yes,3.8,4937,263,Cafe
Customer_3967,Yes,No,2.8,3589,580,Dining
Customer_3968,No,No,1.8,4990,1699,Cafe
Customer_3969,No,No,3.3,4813,1026,Cafe
Customer_3970,No,Yes,4,3765,1444,Cafe
Customer_3971,Yes,Yes,1.7,1322,1010,Buffet
Customer_3972,Yes,Yes,4.3,1159,2358,Buffet
Customer_3973,Yes,Yes,1.5,1830,863,Buffet
Customer_3974,Yes,No,4.4,4294,1728,Cafe
Customer_3975,No,No,2.5,454,1416,Cafe
Customer_3976,No,No,3.1,4592,1888,Cafe
Customer_3977,No,No,3.5,1188,2106,Dining
Customer_3978,No,No,4.7,3458,2132,Buffet
Customer_3979,No,Yes,4.9,1625,1597,Quick Bites
Customer_3980,Yes,Yes,2.7,3078,801,Buffet
Customer_3981,Yes,No,2.7,2342,1327,Quick Bites
Customer_3982,Yes,Yes,3.1,4081,2883,Dining
Customer_3983,No,Yes,4.6,62,2050,Delivery
Customer_3984,Yes,No,4.4,4611,2090,Buffet
Customer_3985,Yes,Yes,1.6,3597,2964,Buffet
Customer_3986,Yes,No,3.8,2799,1380,Cafe
Customer_3987,Yes,No,2.1,3092,693,Cafe
Customer_3988,No,Yes,3.8,4323,1525,Buffet
Customer_3989,Yes,Yes,2.9,208,1227,Quick Bites
Customer_3990,Yes,No,4.7,1651,1341,Buffet
Customer_3991,No,Yes,4.7,3597,2182,Buffet
Customer_3992,No,Yes,2.6,4826,2740,Buffet
Customer_3993,Yes,Yes,3.9,907,1638,Delivery
Customer_3994,No,No,3.2,4969,248,Quick Bites
Customer_3995,Yes,No,4,3606,1517,Cafe
Customer_3996,No,No,4.8,1368,1809,Cafe
Customer_3997,No,Yes,4.3,102,1824,Dining
Customer_3998,No,No,4.4,4996,1194,Cafe
Customer_3999,Yes,Yes,4.6,4215,1018,Cafe
Customer_4000,Yes,Yes,1.7,2852,714,Cafe
Customer_4001,No,Yes,1.1,809,1628,Delivery
Customer_4002,No,Yes,1.1,4303,1521,Quick Bites
Customer_4003,No,Yes,4.3,885,2867,Delivery
Customer_4004,No,No,1.9,4636,2023,Cafe
Customer_4005,Yes,No,4.2,1740,2430,Dining
Customer_4006,Yes,No,3,3555,2460,Buffet
Customer_4007,Yes,No,2.3,2233,1266,Buffet
Customer_4008,No,No,1.6,3231,1920,Delivery
Customer_4009,Yes,No,2.2,2815,2090,Dining
Customer_4010,Yes,No,1.9,1664,1034,Delivery
Customer_4011,No,Yes,3.1,1781,724,Delivery
Customer_4012,Yes,Yes,4.8,2120,2509,Delivery
Customer_4013,Yes,No,4.7,592,675,Quick Bites
Customer_4014,Yes,No,4.3,1682,715,Delivery
Customer_4015,Yes,No,1.6,1440,2005,Buffet
Customer_4016,No,No,4.5,3225,905,Delivery
Customer_4017,No,No,3.5,436,1451,Buffet
Customer_4018,Yes,No,2.6,4095,2952,Cafe
Customer_4019,Yes,No,1.2,813,585,Cafe
Customer_4020,Yes,Yes,3.9,2183,1765,Cafe
Customer_4021,No,No,4.9,1099,394,Buffet
Customer_4022,Yes,No,2.2,3249,2285,Quick Bites
Customer_4023,No,No,1.8,1552,2670,Delivery
Customer_4024,Yes,No,3.6,1111,2933,Quick Bites
Customer_4025,No,Yes,4.1,2510,2682,Quick Bites
Customer_4026,Yes,No,2.6,913,2384,Quick Bites
Customer_4027,Yes,No,1.6,1243,1667,Delivery
Customer_4028,No,Yes,2.4,4046,1795,Dining
Customer_4029,No,No,3.7,2642,2600,Buffet
Customer_4030,Yes,No,4.6,1967,481,Quick Bites
Customer_4031,Yes,Yes,1.1,2753,1781,Dining
Customer_4032,No,No,4.6,2758,2513,Dining
Customer_4033,Yes,No,4.5,427,1587,Dining
Customer_4034,No,No,1.2,4287,1211,Quick Bites
Customer_4035,No,No,1.7,4364,578,Buffet
Customer_4036,No,No,2.5,3633,1660,Buffet
Customer_4037,Yes,Yes,4.3,2805,2832,Quick Bites
Customer_4038,Yes,No,3.2,4224,2619,Quick Bites
Customer_4039,No,Yes,2.8,3793,578,Dining
Customer_4040,No,No,4.1,3684,2434,Delivery
Customer_4041,No,No,1.9,991,1080,Delivery
Customer_4042,Yes,No,2.5,3724,1448,Cafe
Customer_4043,No,No,2.5,4039,475,Buffet
Customer_4044,Yes,Yes,2.1,3186,604,Buffet
